Date,Stock,Action,Close
08/12/17,NFLX,Buy,188.54
07/12/17,GOOGL,Buy,52.23
06/12/17,META,Buy,175.87
05/12/17,AAPL,Sell,40.05
01/12/17,GOOGL,Sell,51.25
29/11/17,META,Sell,174.94
28/11/17,NFLX,Sell,199.18
21/11/17,NFLX,Buy,196.23
20/11/17,NFLX,Sell,194.1
16/11/17,NFLX,Buy,195.51
09/11/17,NFLX,Sell,193.9
08/11/17,NFLX,Buy,196.44
07/11/17,NFLX,Sell,195.89
20/10/17,AAPL,Buy,36.76
19/10/17,AAPL,Sell,36.7
17/10/17,AAPL,Sell,37.75
16/10/17,AAPL,Sell,37.61
13/10/17,AAPL,Sell,36.93
12/10/17,AAPL,Buy,36.7
11/10/17,AAPL,Sell,36.83
05/10/17,AAPL,Buy,36.56
04/10/17,AAPL,Sell,36.11
29/09/17,AAPL,Buy,36.26
27/09/17,META,Buy,167.5
27/09/17,AMZN,Buy,47.54
25/09/17,META,Sell,162.7
21/09/17,AMZN,Sell,48.23
20/09/17,AAPL,Sell,36.72
18/09/17,GOOGL,Buy,46.49
15/09/17,AAPL,Buy,37.61
15/09/17,META,Buy,171.46
15/09/17,GOOGL,Sell,46.76
14/09/17,META,Sell,170.78
13/09/17,AAPL,Sell,37.56
11/09/17,AMZN,Buy,48.9
11/09/17,AAPL,Buy,37.99
11/09/17,META,Buy,173.33
08/09/17,META,Sell,170.77
08/09/17,AMZN,Sell,48.29
08/09/17,AAPL,Sell,37.32
07/09/17,NFLX,Buy,179.0
01/09/17,AMZN,Buy,48.91
31/08/17,AMZN,Sell,49.03
30/08/17,AMZN,Buy,48.38
30/08/17,META,Buy,169.74
30/08/17,GOOGL,Buy,47.18
29/08/17,GOOGL,Sell,46.79
29/08/17,NFLX,Sell,168.81
28/08/17,NFLX,Buy,167.12
25/08/17,META,Sell,166.14
25/08/17,NFLX,Sell,165.95
24/08/17,NFLX,Buy,168.13
24/08/17,GOOGL,Buy,46.84
23/08/17,GOOGL,Sell,47.13
23/08/17,NFLX,Sell,169.06
22/08/17,GOOGL,Buy,47.02
22/08/17,NFLX,Buy,169.34
18/08/17,GOOGL,Sell,46.31
18/08/17,AMZN,Sell,47.92
17/08/17,AMZN,Buy,48.03
16/08/17,GOOGL,Buy,47.21
16/08/17,NFLX,Sell,169.98
08/08/17,AMZN,Sell,49.49
08/08/17,GOOGL,Sell,47.21
31/07/17,GOOGL,Buy,47.28
28/07/17,GOOGL,Sell,47.92
27/07/17,GOOGL,Buy,47.63
25/07/17,GOOGL,Sell,48.45
14/07/17,GOOGL,Buy,48.85
13/07/17,GOOGL,Sell,48.44
07/07/17,GOOGL,Buy,47.04
07/07/17,AAPL,Buy,33.79
07/07/17,AMZN,Buy,48.94
07/07/17,META,Buy,151.28
07/07/17,NFLX,Buy,150.18
06/07/17,AAPL,Sell,33.45
05/07/17,AAPL,Buy,33.77
29/06/17,META,Sell,150.88
28/06/17,META,Buy,153.08
27/06/17,META,Sell,150.42
27/06/17,NFLX,Sell,151.03
27/06/17,AMZN,Sell,48.84
26/06/17,AAPL,Sell,34.17
26/06/17,GOOGL,Sell,48.6
21/06/17,NFLX,Buy,155.03
21/06/17,AAPL,Buy,34.18
20/06/17,AAPL,Sell,33.98
20/06/17,NFLX,Sell,152.05
19/06/17,AAPL,Buy,34.29
19/06/17,NFLX,Buy,153.4
16/06/17,AMZN,Buy,49.39
16/06/17,GOOGL,Buy,47.93
15/06/17,AMZN,Sell,48.21
15/06/17,GOOGL,Sell,48.01
13/06/17,META,Buy,150.52
09/06/17,AAPL,Sell,34.91
09/06/17,NFLX,Sell,158.03
09/06/17,META,Sell,149.44
21/04/17,NFLX,Buy,142.87
20/04/17,GOOGL,Buy,43.0
20/04/17,AAPL,Buy,33.24
19/04/17,AAPL,Sell,32.83
19/04/17,GOOGL,Sell,42.83
18/04/17,GOOGL,Buy,42.7
18/04/17,NFLX,Sell,143.36
17/04/17,NFLX,Buy,147.25
17/04/17,META,Buy,141.27
13/04/17,META,Sell,139.24
13/04/17,NFLX,Sell,142.92
05/04/17,GOOGL,Sell,42.45
29/03/17,GOOGL,Buy,42.49
27/03/17,AMZN,Buy,42.34
27/03/17,NFLX,Buy,144.06
23/03/17,NFLX,Sell,141.84
23/03/17,GOOGL,Sell,41.98
20/03/17,AMZN,Sell,42.85
09/03/17,NFLX,Buy,140.53
08/03/17,NFLX,Sell,140.32
06/03/17,NFLX,Buy,141.94
02/03/17,NFLX,Sell,139.53
01/03/17,GOOGL,Buy,42.84
01/03/17,NFLX,Buy,142.65
28/02/17,GOOGL,Sell,42.25
28/02/17,NFLX,Sell,142.13
10/02/17,META,Buy,134.05
08/02/17,META,Sell,134.06
02/02/17,META,Buy,130.7
01/02/17,META,Sell,133.09
30/01/17,META,Buy,130.84
25/01/17,META,Sell,131.34
24/01/17,META,Buy,129.23
23/01/17,META,Sell,128.79
18/01/17,META,Buy,127.78
17/01/17,GOOGL,Buy,41.37
13/01/17,GOOGL,Sell,41.55
09/01/17,NFLX,Buy,130.95
06/01/17,META,Sell,123.28
04/01/17,NFLX,Sell,129.41
03/01/17,AMZN,Buy,37.68
30/12/16,AMZN,Sell,37.49
29/12/16,META,Buy,116.23
28/12/16,META,Sell,116.8
28/12/16,NFLX,Buy,125.89
28/12/16,AAPL,Buy,27.13
27/12/16,NFLX,Sell,128.35
27/12/16,AAPL,Sell,27.25
23/12/16,META,Buy,117.15
21/12/16,META,Sell,118.91
20/12/16,NFLX,Buy,125.12
19/12/16,NFLX,Sell,125.45
16/12/16,NFLX,Buy,124.22
16/12/16,GOOGL,Buy,40.49
15/12/16,NFLX,Sell,125.0
14/12/16,GOOGL,Sell,40.89
09/12/16,GOOGL,Buy,40.47
09/12/16,AAPL,Buy,26.48
08/12/16,NFLX,Buy,123.24
08/12/16,GOOGL,Sell,39.76
08/12/16,META,Buy,118.78
08/12/16,AAPL,Sell,26.05
06/12/16,AMZN,Buy,38.24
06/12/16,NFLX,Sell,124.57
05/12/16,NFLX,Buy,119.16
02/12/16,NFLX,Sell,120.81
01/12/16,GOOGL,Buy,38.22
30/11/16,GOOGL,Sell,38.79
30/11/16,AAPL,Buy,25.68
29/11/16,AMZN,Sell,38.13
29/11/16,META,Sell,120.74
29/11/16,AAPL,Sell,25.9
28/11/16,GOOGL,Buy,39.29
23/11/16,GOOGL,Sell,38.95
23/11/16,AMZN,Buy,39.01
22/11/16,AMZN,Sell,39.27
21/11/16,META,Buy,121.64
17/11/16,AMZN,Buy,37.82
17/11/16,AAPL,Buy,25.55
14/11/16,GOOGL,Buy,37.66
11/11/16,GOOGL,Sell,38.59
11/11/16,META,Sell,118.89
10/11/16,AMZN,Sell,37.12
10/11/16,AAPL,Sell,25.05
10/11/16,META,Buy,120.67
08/11/16,AMZN,Buy,39.39
04/11/16,AAPL,Buy,25.29
03/11/16,AAPL,Sell,25.52
02/11/16,META,Sell,127.04
31/10/16,NFLX,Buy,124.87
28/10/16,AMZN,Sell,38.82
26/10/16,AAPL,Buy,26.72
25/10/16,AAPL,Sell,27.34
25/10/16,GOOGL,Buy,41.43
24/10/16,GOOGL,Sell,41.79
20/10/16,GOOGL,Buy,41.08
19/10/16,AAPL,Buy,27.08
19/10/16,META,Buy,129.97
18/10/16,GOOGL,Sell,41.07
18/10/16,NFLX,Sell,118.79
14/10/16,META,Sell,127.74
11/10/16,GOOGL,Buy,40.48
10/10/16,AAPL,Sell,26.83
10/10/16,NFLX,Buy,103.33
10/10/16,GOOGL,Sell,40.71
06/10/16,META,Buy,128.6
05/10/16,META,Sell,128.33
03/10/16,NFLX,Sell,102.63
26/09/16,GOOGL,Buy,40.13
23/09/16,AAPL,Buy,26.06
22/09/16,AAPL,Sell,26.5
22/09/16,GOOGL,Sell,40.8
19/09/16,AAPL,Buy,26.26
15/09/16,AMZN,Buy,38.48
14/09/16,AAPL,Sell,25.84
14/09/16,NFLX,Buy,97.01
13/09/16,AMZN,Sell,38.05
13/09/16,NFLX,Sell,96.09
12/09/16,AMZN,Buy,38.57
09/09/16,AMZN,Sell,38.01
09/09/16,NFLX,Buy,96.5
08/09/16,GOOGL,Buy,40.14
08/09/16,NFLX,Sell,99.66
08/09/16,AAPL,Buy,24.39
07/09/16,NFLX,Buy,99.15
07/09/16,AAPL,Sell,25.05
06/09/16,NFLX,Sell,100.09
06/09/16,META,Buy,129.59
06/09/16,GOOGL,Sell,40.4
02/09/16,META,Sell,126.38
30/08/16,META,Buy,125.71
29/08/16,META,Sell,126.41
29/08/16,NFLX,Buy,97.3
26/08/16,NFLX,Sell,97.58
15/08/16,GOOGL,Buy,40.3
12/08/16,AAPL,Buy,25.01
09/08/16,META,Buy,124.93
08/08/16,NFLX,Buy,95.11
05/08/16,NFLX,Sell,97.03
05/08/16,AAPL,Sell,24.85
05/08/16,META,Sell,125.02
04/08/16,AAPL,Buy,24.47
03/08/16,AAPL,Sell,24.32
02/08/16,AAPL,Buy,24.02
02/08/16,META,Buy,122.96
01/08/16,META,Sell,124.18
29/07/16,META,Buy,123.81
27/07/16,META,Sell,123.21
27/07/16,AAPL,Sell,23.67
26/07/16,META,Buy,121.09
25/07/16,META,Sell,121.5
21/07/16,META,Buy,120.48
19/07/16,NFLX,Buy,85.84
19/07/16,AAPL,Buy,22.96
18/07/16,META,Sell,119.24
18/07/16,NFLX,Sell,98.81
14/07/16,AAPL,Sell,22.72
13/07/16,META,Buy,116.66
13/07/16,AAPL,Buy,22.27
11/07/16,AAPL,Sell,22.3
11/07/16,GOOGL,Sell,36.36
08/07/16,META,Sell,117.12
07/07/16,META,Buy,115.73
06/07/16,META,Sell,116.58
06/07/16,NFLX,Buy,94.6
01/07/16,NFLX,Sell,96.67
01/07/16,META,Buy,114.07
01/07/16,AMZN,Buy,36.28
30/06/16,META,Sell,114.16
30/06/16,AMZN,Sell,35.78
29/06/16,META,Buy,114.04
29/06/16,AMZN,Buy,35.78
28/06/16,AAPL,Buy,21.52
28/06/16,GOOGL,Buy,34.56
27/06/16,AAPL,Sell,21.16
24/06/16,AAPL,Buy,21.48
24/06/16,AMZN,Sell,34.95
24/06/16,GOOGL,Sell,34.26
24/06/16,META,Sell,111.96
22/06/16,AAPL,Sell,21.97
20/06/16,META,Buy,113.25
14/06/16,AMZN,Buy,35.97
13/06/16,AMZN,Sell,35.76
10/06/16,AAPL,Buy,22.72
09/06/16,AAPL,Sell,22.91
07/06/16,META,Sell,117.64
03/06/16,AMZN,Buy,36.28
02/06/16,AMZN,Sell,36.41
02/06/16,GOOGL,Buy,37.21
02/06/16,NFLX,Buy,101.25
01/06/16,AAPL,Buy,22.64
27/05/16,GOOGL,Sell,37.38
23/05/16,NFLX,Sell,94.89
23/05/16,AAPL,Sell,22.17
11/05/16,META,Buy,119.39
11/05/16,GOOGL,Buy,36.53
10/05/16,GOOGL,Sell,36.97
06/05/16,META,Sell,119.36
04/05/16,AAPL,Buy,21.53
29/04/16,META,Buy,117.46
28/04/16,META,Sell,116.61
26/04/16,GOOGL,Buy,36.27
22/04/16,GOOGL,Sell,36.89
22/04/16,META,Buy,110.44
21/04/16,META,Sell,113.32
21/04/16,AAPL,Sell,24.22
18/04/16,NFLX,Buy,108.4
12/04/16,NFLX,Sell,106.98
04/04/16,NFLX,Buy,104.35
01/04/16,NFLX,Sell,105.7
30/03/16,META,Buy,114.58
30/03/16,NFLX,Buy,102.19
29/03/16,NFLX,Sell,104.13
22/03/16,NFLX,Buy,99.84
21/03/16,META,Sell,111.73
18/03/16,NFLX,Sell,101.12
17/03/16,META,Buy,110.9
15/03/16,META,Sell,110.55
14/03/16,AAPL,Buy,23.43
11/03/16,AAPL,Sell,23.37
08/03/16,GOOGL,Buy,35.68
08/03/16,META,Buy,105.82
07/03/16,GOOGL,Sell,35.64
07/03/16,META,Sell,105.62
07/03/16,NFLX,Buy,95.49
04/03/16,NFLX,Sell,101.58
03/03/16,META,Buy,109.46
02/03/16,AMZN,Buy,29.01
02/03/16,NFLX,Buy,97.61
01/03/16,META,Sell,109.7
01/03/16,NFLX,Sell,98.3
01/03/16,GOOGL,Buy,37.11
29/02/16,AMZN,Sell,27.63
29/02/16,GOOGL,Sell,35.86
25/02/16,GOOGL,Buy,36.46
25/02/16,AAPL,Buy,22.11
23/02/16,AMZN,Buy,27.65
23/02/16,AAPL,Sell,21.64
23/02/16,GOOGL,Sell,35.86
22/02/16,AMZN,Sell,27.98
18/02/16,NFLX,Buy,90.49
17/02/16,NFLX,Sell,94.76
16/02/16,AAPL,Buy,22.09
12/02/16,GOOGL,Buy,35.34
12/02/16,AMZN,Buy,25.35
10/02/16,AAPL,Sell,21.54
09/02/16,AAPL,Buy,21.71
05/02/16,AAPL,Sell,21.49
04/02/16,GOOGL,Sell,36.5
03/02/16,AAPL,Buy,21.9
02/02/16,GOOGL,Buy,39.05
01/02/16,GOOGL,Sell,38.54
29/01/16,NFLX,Buy,91.84
28/01/16,GOOGL,Buy,37.42
28/01/16,AAPL,Sell,21.39
28/01/16,AMZN,Sell,31.77
27/01/16,GOOGL,Sell,35.88
25/01/16,META,Buy,96.91
22/01/16,AMZN,Buy,29.82
22/01/16,AAPL,Buy,23.05
21/01/16,GOOGL,Buy,36.33
19/01/16,AAPL,Sell,21.97
15/01/16,META,Sell,94.87
14/01/16,META,Buy,98.27
14/01/16,AAPL,Buy,22.62
13/01/16,NFLX,Sell,106.56
13/01/16,AAPL,Sell,22.14
11/01/16,NFLX,Buy,114.97
11/01/16,AAPL,Buy,22.4
06/01/16,AAPL,Sell,22.89
04/01/16,GOOGL,Sell,37.97
04/01/16,AMZN,Sell,31.85
04/01/16,META,Sell,102.11
31/12/15,NFLX,Sell,114.38
29/12/15,NFLX,Buy,119.12
28/12/15,META,Buy,105.82
28/12/15,AMZN,Buy,33.76
28/12/15,GOOGL,Buy,39.11
23/12/15,AMZN,Sell,33.19
23/12/15,GOOGL,Sell,38.43
23/12/15,META,Sell,104.52
18/12/15,NFLX,Sell,118.02
15/12/15,AMZN,Buy,32.93
15/12/15,META,Buy,104.44
14/12/15,GOOGL,Buy,38.13
11/12/15,GOOGL,Sell,37.52
11/12/15,META,Sell,102.01
11/12/15,AMZN,Sell,32.01
10/12/15,META,Buy,105.31
08/12/15,META,Sell,106.38
01/12/15,META,Buy,107.01
30/11/15,META,Sell,104.13
13/11/15,NFLX,Buy,103.65
12/11/15,NFLX,Sell,108.92
09/11/15,NFLX,Buy,109.86
06/11/15,NFLX,Sell,114.06
05/11/15,AAPL,Buy,27.49
04/11/15,NFLX,Buy,114.05
03/11/15,NFLX,Sell,109.74
02/11/15,AAPL,Sell,27.43
30/10/15,AAPL,Buy,27.05
28/10/15,AAPL,Sell,27.0
26/10/15,AAPL,Buy,26.09
23/10/15,NFLX,Buy,100.04
22/10/15,AAPL,Sell,26.14
16/10/15,GOOGL,Sell,34.77
16/10/15,META,Sell,97.44
16/10/15,NFLX,Sell,98.99
16/10/15,AMZN,Sell,28.54
16/10/15,AAPL,Sell,25.13
